7zip	25.01+dfsg-1~deb13u2
accountsservice	23.13.9-7
acl	2.3.2-2+b1
adduser	3.152
adwaita-icon-theme	48.1-1
adwaita-icon-theme-legacy	46.2-2
agnostics	1.6
alsa-topology-conf	1.2.5.1-3
alsa-ucm-conf	1.2.14-1
alsa-utils	1.2.14-1+rpt1
apparmor	4.1.0-1
apt	3.0.3
apt-listchanges	4.8
apt-utils	3.0.3
aspell	0.60.8.1-4
aspell-en	2020.12.07-0-1
at-spi2-common	2.56.2-1+deb13u1
autotouch	0.1
avahi-daemon	0.8-16
base-files	13.8+deb13u5
base-passwd	3.6.7
bash	5.2.37-2+b9
bash-completion	1:2.16.0-7
bc	1.07.1-4+b1
binutils	2.44-3
binutils-aarch64-linux-gnu	2.44-3
binutils-common:arm64	2.44-3
blt	2.5.3+dfsg-8
bluez	5.82-1.1+rpt1
bluez-firmware	1.2-13+rpt2
bsdextrautils	2.41.5-0+deb13u1
bsdutils	1:2.41.5-0+deb13u1
bubblewrap	0.11.0-2+deb13u1
build-essential	12.12
busybox	1:1.37.0-6+b8
bzip2	1.0.8-6
ca-certificates	20250419
chromium	1:149.0.7827.114-1~deb13u1+rpt1
chromium-common	1:149.0.7827.114-1~deb13u1+rpt1
chromium-l10n	1:149.0.7827.114-1~deb13u1+rpt1
chromium-sandbox	1:149.0.7827.114-1~deb13u1+rpt1
cifs-utils	2:7.4-1
cloud-guest-utils	0.33-1
cloud-init	25.2-1~bpo13+1+rpt20
colord	1.4.7-3
colord-data	1.4.7-3
console-setup	1.242~deb13u1
console-setup-linux	1.242~deb13u1
coreutils	9.7-3
cpio	2.15+dfsg-2
cpp	4:14.2.0-1
cpp-14	14.2.0-19
cpp-14-aarch64-linux-gnu	14.2.0-19
cpp-14-for-host:arm64	14.2.0-19
cpp-aarch64-linux-gnu	4:14.2.0-1
cron	3.0pl1-197
cron-daemon-common	3.0pl1-197
cups	2.4.10-3+rpt2+deb13u1
cups-browsed	1.28.17-6+rpt1+deb13u1
cups-client	2.4.10-3+rpt2+deb13u1
cups-common	2.4.10-3+rpt2+deb13u1
cups-core-drivers	2.4.10-3+rpt2+deb13u1
cups-daemon	2.4.10-3+rpt2+deb13u1
cups-filters	1.28.17-6+rpt1+deb13u1
cups-filters-core-drivers	1.28.17-6+rpt1+deb13u1
cups-ipp-utils	2.4.10-3+rpt2+deb13u1
cups-pk-helper	0.2.6-2.1+rpt1
cups-ppdc	2.4.10-3+rpt2+deb13u1
cups-server-common	2.4.10-3+rpt2+deb13u1
curl	8.14.1-2+deb13u3
dash	0.5.12-12
dbus	1.16.2-2
dbus-bin	1.16.2-2
dbus-daemon	1.16.2-2
dbus-session-bus-common	1.16.2-2
dbus-system-bus-common	1.16.2-2
dbus-user-session	1.16.2-2
dbus-x11	1.16.2-2
dconf-cli	0.40.0-5
dconf-gsettings-backend:arm64	0.40.0-5
